source,target,best_lag,p_value
EHAM,LEBL,8,3.8258510200131407e-07
EHAM,EGLL,1,1.1028755822963748e-15
EHAM,EGKK,3,5.806776168391301e-13
EHAM,LFPG,1,0.03388624272191692
EHAM,LIRF,4,0.10163322708979378
EHAM,EDDF,2,0.06487132431075913
EHAM,LEMD,2,2.933155668758183e-05
EHAM,EIDW,1,7.111992500313245e-06
EHAM,EDDM,6,0.04711103092587537
LEBL,EHAM,8,0.0007302751996944727
LEBL,EGLL,2,0.006919235025414157
LEBL,EGKK,5,0.014145246218350322
LEBL,LFPG,1,0.034023180777740074
LEBL,LIRF,4,0.0013129676877909815
LEBL,EDDF,5,0.1344090308769391
LEBL,LEMD,1,9.006092744491056e-07
LEBL,EIDW,6,0.019090218026380067
LEBL,EDDM,6,0.0010725255718666065
EGLL,EHAM,4,0.00034153212887665503
EGLL,LEBL,4,4.4517186289495686e-13
EGLL,EGKK,5,1.4911221316628378e-13
EGLL,LFPG,3,0.0014736580389694417
EGLL,LIRF,6,0.00030535660331328036
EGLL,EDDF,8,0.5025420094128854
EGLL,LEMD,5,3.3052800310262543e-14
EGLL,EIDW,1,1.976968207122138e-05
EGLL,EDDM,7,0.2513813119002624
EGKK,EHAM,7,7.64530207452152e-05
EGKK,LEBL,8,5.169489181809174e-12
EGKK,EGLL,1,0.00017542478272228546
EGKK,LFPG,6,0.0029930453557673467
EGKK,LIRF,4,0.0008345054577470438
EGKK,EDDF,5,0.06901630779247116
EGKK,LEMD,8,4.884926313452895e-06
EGKK,EIDW,8,2.77977216481187e-06
EGKK,EDDM,8,0.0006265754644577716
LFPG,EHAM,1,1.2288886007459792e-09
LFPG,LEBL,8,4.706598117005582e-07
LFPG,EGLL,1,2.5802265206022326e-10
LFPG,EGKK,4,7.056407782881382e-09
LFPG,LIRF,6,0.02962970006485788
LFPG,EDDF,3,3.001354262690243e-13
LFPG,LEMD,1,0.0036686986640104345
LFPG,EIDW,1,1.088123316988845e-06
LFPG,EDDM,2,5.495288324767615e-05
LIRF,EHAM,1,0.0016416179284652057
LIRF,LEBL,5,0.0002820788190216279
LIRF,EGLL,8,0.027679670793506812
LIRF,EGKK,8,0.00022442702908519806
LIRF,LFPG,1,0.013489838429037329
LIRF,EDDF,1,5.4905344535123174e-06
LIRF,LEMD,1,1.2721154265110408e-05
LIRF,EIDW,5,1.8602046689352387e-06
LIRF,EDDM,3,2.0620773626300033e-13
EDDF,EHAM,2,0.0003230718014934181
EDDF,LEBL,3,0.00024480714778909725
EDDF,EGLL,7,0.0001393130370595324
EDDF,EGKK,7,7.014012624047722e-05
EDDF,LFPG,1,0.006945255039263211
EDDF,LIRF,1,0.0023340097255621587
EDDF,LEMD,2,0.0012667301508836536
EDDF,EIDW,5,3.972055699088334e-06
EDDF,EDDM,1,3.3603352808264995e-06
LEMD,EHAM,2,0.006126801641833432
LEMD,LEBL,1,8.776036194542321e-06
LEMD,EGLL,1,0.001597764855173599
LEMD,EGKK,6,7.094424993473602e-07
LEMD,LFPG,7,0.012019824192883997
LEMD,LIRF,1,0.0015796497776128476
LEMD,EDDF,3,0.14683638350327557
LEMD,EIDW,8,0.0006353615327450119
LEMD,EDDM,5,0.0008443961068163951
EIDW,EHAM,8,1.1639528953129314e-05
EIDW,LEBL,8,1.7498089994922935e-12
EIDW,EGLL,2,6.994304665961407e-11
EIDW,EGKK,2,7.237665204078008e-10
EIDW,LFPG,4,0.08329384261853821
EIDW,LIRF,1,6.978862792960355e-05
EIDW,EDDF,2,0.4778643366734451
EIDW,LEMD,3,1.2608935506078274e-07
EIDW,EDDM,2,0.28018158639054624
EDDM,EHAM,2,0.001421788466974337
EDDM,LEBL,8,5.186108797055717e-09
EDDM,EGLL,5,6.252831409196074e-08
EDDM,EGKK,7,1.2458904667813477e-11
EDDM,LFPG,3,0.004729222629910148
EDDM,LIRF,1,0.001668044252798612
EDDM,EDDF,1,0.1942309060509659
EDDM,LEMD,7,0.18640464497704798
EDDM,EIDW,5,9.796404573887465e-17
