source,target,best_lag,p_value
LQSA,LATI,1,0.033825695969299865
LQSA,LBSF,4,0.5208428079594456
LQSA,LDZA,6,0.07929570813756044
LQSA,LDSP,6,0.0030562103495493593
LQSA,LDDU,3,0.004683081047461207
LQSA,LYTV,3,0.19452937288988947
LQSA,LWSK,1,0.48347087500738084
LQSA,LBBG,1,0.44847559416608107
LQSA,BKPR,7,0.350964012041281
LATI,LQSA,2,6.330481562721905e-05
LATI,LBSF,1,0.06316112059321195
LATI,LDZA,2,0.0533768322295808
LATI,LDSP,6,0.04046161776320245
LATI,LDDU,2,0.0682552265356851
LATI,LYTV,6,0.00014126447363341552
LATI,LWSK,2,0.03413371060899311
LATI,LBBG,2,0.22016053709667957
LATI,BKPR,2,2.171805702710889e-12
LBSF,LQSA,6,0.03475216271215175
LBSF,LATI,8,0.0014947074028715296
LBSF,LDZA,1,0.02969203500491328
LBSF,LDSP,1,0.12052555493777918
LBSF,LDDU,2,0.4558884095307233
LBSF,LYTV,1,0.1107828547570157
LBSF,LWSK,1,0.10909212245622392
LBSF,LBBG,2,0.45987199092985664
LBSF,BKPR,1,0.5469526204076124
LDZA,LQSA,5,0.06523456041962791
LDZA,LATI,2,0.0616868530561872
LDZA,LBSF,6,0.002731223524235943
LDZA,LDSP,1,0.5151989514058133
LDZA,LDDU,7,0.10475160984409061
LDZA,LYTV,4,0.0176617931672299
LDZA,LWSK,2,0.0011976859611210204
LDZA,LBBG,2,0.04151243431220932
LDZA,BKPR,4,0.17764823234053126
LDSP,LQSA,1,0.13689207202057613
LDSP,LATI,1,0.06219603123056371
LDSP,LBSF,1,0.22896480028485444
LDSP,LDZA,8,0.0009914602554843789
LDSP,LDDU,4,0.15500917414704868
LDSP,LYTV,1,0.37819176762433726
LDSP,LWSK,1,0.5504216430255966
LDSP,LBBG,2,0.4284934532573531
LDSP,BKPR,2,0.15888758365142228
LDDU,LQSA,1,0.04387718976469433
LDDU,LATI,5,0.11144205174521796
LDDU,LBSF,3,0.15428271920770878
LDDU,LDZA,7,0.00035635263909595866
LDDU,LDSP,1,0.02051336863388299
LDDU,LYTV,1,0.39681868552762256
LDDU,LWSK,1,0.2609668901585768
LDDU,LBBG,5,0.046180338333132336
LDDU,BKPR,2,0.43172348656753323
LYTV,LQSA,2,0.12721947517800908
LYTV,LATI,3,0.4928630972255853
LYTV,LBSF,3,0.5325598797320592
LYTV,LDZA,5,0.03809875364597556
LYTV,LDSP,7,0.311638622941401
LYTV,LDDU,1,0.22679712203870733
LYTV,LWSK,7,0.6853372063031475
LYTV,LBBG,8,0.0016090329184778713
LYTV,BKPR,2,0.23332043997170468
LWSK,LQSA,2,0.043290006079000194
LWSK,LATI,1,0.10165196028250167
LWSK,LBSF,4,0.0195303567931815
LWSK,LDZA,7,0.07895290588697605
LWSK,LDSP,5,0.004179612060483966
LWSK,LDDU,2,0.5692379733352453
LWSK,LYTV,2,0.0011048070633022276
LWSK,LBBG,8,0.5566270440332048
LWSK,BKPR,3,0.021271611718238954
LBBG,LQSA,1,0.21077416172055136
LBBG,LATI,8,0.3603194762035456
LBBG,LBSF,1,0.003716406529159498
LBBG,LDZA,3,0.5277252058569493
LBBG,LDSP,1,0.09860681520643612
LBBG,LDDU,1,0.06275876441333723
LBBG,LYTV,3,0.21813262714887538
LBBG,LWSK,2,0.1902397570828662
LBBG,BKPR,1,0.26732109528933357
BKPR,LQSA,2,0.031603737681870206
BKPR,LATI,2,0.016143498524298784
BKPR,LBSF,4,0.06245255117938203
BKPR,LDZA,1,0.036384344555049256
BKPR,LDSP,7,0.007414768731755615
BKPR,LDDU,5,0.32859868449228957
BKPR,LYTV,1,0.3876437327740708
BKPR,LWSK,2,0.037001950948342126
BKPR,LBBG,1,0.5292486010918311
