source,target,best_lag,p_value
EGKK,EDDM,3,0.021842427068686644
EGKK,EDDF,8,0.008339052284367366
EGKK,EHAM,6,0.2056123916951029
EGKK,EGLL,2,0.0016540691922723508
EGKK,LFPG,3,0.03184789433724062
EGKK,LIRF,1,0.002146496023932114
EGKK,EIDW,2,0.00010572403287897083
EGKK,LEBL,1,5.3655400179924265e-08
EGKK,LEMD,8,2.713622239761111e-05
EDDM,EGKK,8,1.5233365350196948e-11
EDDM,EDDF,6,0.001517903910494782
EDDM,EHAM,2,6.819891509351466e-08
EDDM,EGLL,2,7.787689427958823e-24
EDDM,LFPG,2,2.372014237784398e-10
EDDM,LIRF,5,0.09263556069411583
EDDM,EIDW,3,2.8791834536329305e-13
EDDM,LEBL,8,8.895201911809807e-11
EDDM,LEMD,8,0.024921641751448235
EDDF,EGKK,8,5.555808379250056e-14
EDDF,EDDM,6,0.002182836454021709
EDDF,EHAM,5,0.0003866891620378381
EDDF,EGLL,4,1.5765570255397127e-27
EDDF,LFPG,4,2.6136474211699777e-13
EDDF,LIRF,3,0.004012375153752354
EDDF,EIDW,5,2.4142742818777794e-12
EDDF,LEBL,7,5.4621074444448e-07
EDDF,LEMD,5,0.0022123445745440133
EHAM,EGKK,1,0.00016064317599979354
EHAM,EDDM,2,0.0002887766167185564
EHAM,EDDF,2,1.5901839523976855e-05
EHAM,EGLL,5,8.07908783542332e-14
EHAM,LFPG,1,1.2178575220542728e-07
EHAM,LIRF,3,0.00012834361788717204
EHAM,EIDW,5,6.547697403261175e-10
EHAM,LEBL,3,0.01134848790509454
EHAM,LEMD,1,0.1805139612485713
EGLL,EGKK,5,1.3439061166922689e-24
EGLL,EDDM,5,0.19087672547758014
EGLL,EDDF,5,0.2598686486624433
EGLL,EHAM,1,0.05883301792105064
EGLL,LFPG,2,1.2284825579777497e-09
EGLL,LIRF,1,0.00039090106943700663
EGLL,EIDW,3,9.810188489432723e-13
EGLL,LEBL,8,8.198410596810757e-08
EGLL,LEMD,1,1.1515802647750538e-05
LFPG,EGKK,3,3.029056421769138e-11
LFPG,EDDM,2,2.552186005806935e-05
LFPG,EDDF,2,6.902610753118927e-10
LFPG,EHAM,1,3.87229662498064e-06
LFPG,EGLL,3,2.7513016199550594e-26
LFPG,LIRF,1,1.9829554607566496e-06
LFPG,EIDW,1,2.7637672834751766e-21
LFPG,LEBL,8,1.588128674230692e-13
LFPG,LEMD,7,6.206525286211254e-07
LIRF,EGKK,7,2.261927545054945e-09
LIRF,EDDM,6,0.0986386936031715
LIRF,EDDF,2,9.539178166257517e-06
LIRF,EHAM,6,0.15226208021710122
LIRF,EGLL,4,5.261832556958888e-10
LIRF,LFPG,3,0.003812013325035918
LIRF,EIDW,4,7.847209455572087e-05
LIRF,LEBL,2,0.0001803446368316442
LIRF,LEMD,3,4.673097025787308e-06
EIDW,EGKK,4,3.582413038171873e-10
EIDW,EDDM,8,0.00033744763689183544
EIDW,EDDF,8,5.182075121565441e-07
EIDW,EHAM,6,0.03136285113008507
EIDW,EGLL,8,0.0004726686370606293
EIDW,LFPG,7,0.00017982238661062253
EIDW,LIRF,4,5.70773213190876e-07
EIDW,LEBL,4,7.718830928313051e-09
EIDW,LEMD,3,0.0001260132761133424
LEBL,EGKK,5,0.30412423019857315
LEBL,EDDM,5,3.2792046936616054e-06
LEBL,EDDF,5,2.782009962483972e-08
LEBL,EHAM,4,0.0003076592187033425
LEBL,EGLL,4,2.904504855059219e-06
LEBL,LFPG,3,3.257848969126712e-05
LEBL,LIRF,1,0.012341289604115156
LEBL,EIDW,5,0.30967393550030314
LEBL,LEMD,2,6.650671144441991e-06
LEMD,EGKK,6,2.2031299987421343e-07
LEMD,EDDM,6,1.2134539591356274e-07
LEMD,EDDF,6,1.1988318295179738e-06
LEMD,EHAM,2,0.0012539575128813416
LEMD,EGLL,4,2.3569092427924009e-07
LEMD,LFPG,3,0.032521239265453035
LEMD,LIRF,2,0.054470868077456644
LEMD,EIDW,5,0.0005912698873420657
LEMD,LEBL,1,0.00021421031549420934
